1,BARNET PHARMACY,KABARNET,HOSP RD.,BARINGO
2,BRADWILL CHEMIST,KABARNET,KAPTICH,BARINGO
3,DENMAG CHEMIST,ELDAMA RAVINE,MERCY RD,BARINGO
4,EMINING CHEMIST,ELDAMA RAVINE,BARINGO,BARINGO
5,GENERATION AFYA CHEMIST,MARIGAT,MTEGO,BARINGO
6,HELMON CHEMIST,MARIGAT,KAMBI SAMAKI,BARINGO
7,KABARTONJO SUNVIEW CHEMIST,KABARTONJO,KABARTONJO,BARINGO
8,KAPKERICH CHEMIST,KABARNET ,HOSPITAL RD,BARINGO
9,KASCARE CHEMIST,KABARNET,HOSPITAL,BARINGO
10,KIABATEK CHEMIST,ELDAMA RAVINE,TORONGO,BARINGO
11,KOIBATEK CHEMIST,ELDAMA RAVINE,TERONGO RD.,BARINGO
12,LYFE CARE CHEMIST,MARIGAT,BARINGO RD.,BARINGO
13,RAVINE FARM CHEMIST,ELDAMA RAVINE,MARKET RD,BARINGO
14,RIWO CHEMISTS-KABARNET,KABARNET,KABARNET,BARINGO
15,RUSCHKEM PHARMACEUTICALS,KABARNET,HOSP RD.,BARINGO
16,SAGITCARE PHARMACY,MOGOTIO,KIPSOUN RD,BARINGO
17,SAITECHEM PHARMACY,MARIGAT,MARIGAT LORUK,BARINGO
18,SINAI MT. CHEMIST,KABARTONJO,KIPSARAMAN RD.,BARINGO
19,SOB CHEMIST,E/RAVINE,JABARNET RD.,BARINGO
20,SOCHIGAA CHEMIST,KABARTONJO,MKT RD,BARINGO
21,SOCHIGAA CHEMIST LTD,MARIGAT,HOSP RD.,BARINGO
22,SOCHIGAA CHEMIST LTD,KABARNET,HOPS RD.,BARINGO
23,SUNDOWNER CHEMIST,KABARNET,CHELANGAT ST.,BARINGO
24,SUNROSE PHARMACY,ELDAMARAVINE,ELDO RD,BARINGO
25,TIONYBEI CHEMIST,KABARNET,HOSP,BARINGO
26,TIONYBEI CHEMIST,MARIGAT,HOSP RD.,BARINGO
27,BENOSIR MEDICARE CHEMIST,LITEIN,LITEIN,BOMET
28,BEROR CHEMIST,MULOT,NAROK BOMET,BOMET
29,BETTER HEALTH CHEMIST,SILIBWET,BOMET LITEIN RD.,BOMET
30,BOITA ZENA CHEMIST,BOMET,LITEN MEGA,BOMET
31,BOMET CENTRAL PHARMACY,BOMET,BOMET TOWN,BOMET
32,CHEBILATI CHEMIST,SOTIK,KERICHO SOTIK,BOMET
33,CHEPTUONIK CHEMIST,BOMET,SIGOR RD,BOMET
34,DOPEMARKS CHEMIST,KAPSUSER ,KAPSUSER - KERICH RD,BOMET
35,EMSEWES GAA PHARMACY,SILIBWET,OLENGURUONE JUNCTION,BOMET
36,GERYSEN PHARMACY,SOTIK,MIAN ST.,BOMET
37,HEALTH FIRST PHARMACY,BOMET,NAROK HIGHWAY,BOMET
38,HEALTH FIRST PHARMACY,BOMET,NAROK HIGHWAY,BOMET
39,HELCAH CHEMIST,CHEBOLE,KAPLONG BOEMT,BOMET
40,JOVYER PHARMACEUTICALS,SOTIK,POST ROAD,BOMET
41,JVYER PHARMACEUTIALS,SOTIK,KERICHO KISII,BOMET
42,KALYA PHARMACY LTD,BOMET,BOMET RD,BOMET
43,KAPSABET MEDICAL,KAPSABET,KERICHO - SOTIK RD,BOMET
44,KITAIMA CHEMIST,CHEBILAT,KISII SOTIK,BOMET
45,KOKWET PHARMACY,SOTIK,MAIN ST.,BOMET
46,KONOIN CHEMIST,MOGOGOSIEK,BONET LITEIN RD.,BOMET
47,LITEIN CENTRAL CHEMIST,LITEIN,CHEBORGE RD,BOMET
48,MEDS PHARMACEUTICALS LTD,SOTIK,POST RD.,BOMET
49,MOTHERLAND PHARMACEUTICALS,BOMET,KIPCHAMBA,BOMET
50,NYIMKOLOO PHARMACY,MULOT,NAROK RD.,BOMET
51,OLBUCHEM CHEMIST,BOMET,OLBUTYO,BOMET
52,OMOWA PHARMACY,CHEPILAT MKT,KISII SOTIK,BOMET
53,SANJON PHARMACY,BOMET,DC RD,BOMET
54,SHANMAG PHARMACY,BOMET,ISAACK SALAT,BOMET
55,SKYLEX PHARMACY -BOMET,BOMET,KIPCHAMBA STREET,BOMET
56,SOT PHARMACY,BOMET,KIPCHAMBA ST,BOMET
57,SOTIK CHEMISTS,SOTIK,MAIN ST.,BOMET
58,SOTIK CHEMISTS,BOMET,NAROK RD.,BOMET
59,SOTIK HEALTHCARE PHARMACY,SOTIK,MAIN RD,BOMET
60,SOTIK HEALTHCARE PHARMACY,SOTIK,MAIN RD,BOMET
61,TENWEK HOSPITAL,BOMET,BOMET SILIBWET,BOMET
62,THOKICHE PHARMACY,KONGISA,HOSP RD.,BOMET
